                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.68728,                0.47698,                 1.0253,                  0.961,                0.93104,                0.95808,                0.73833,                0.94376,                0.50638,                 1.1534,               0.001981,               0.001981,               0.001981
                     83,                0.68254,                0.46613,                 1.0236,                0.96039,                0.93083,                0.95819,                0.73916,                0.94328,                0.50513,                 1.1531,               0.001882,               0.001882,               0.001882
                     84,                0.68686,                0.47015,                 1.0264,                0.96088,                0.93072,                0.95801,                   0.74,                 0.9424,                0.50615,                 1.1525,               0.001783,               0.001783,               0.001783
                     85,                0.68546,                0.46572,                 1.0285,                0.96131,                0.93079,                0.95806,                   0.74,                0.94165,                0.50762,                 1.1524,               0.001684,               0.001684,               0.001684
                     86,                0.66366,                0.45451,                  1.014,                0.96139,                0.93095,                0.95822,                0.73941,                 0.9408,                0.50848,                  1.152,               0.001585,               0.001585,               0.001585
                     87,                0.66922,                0.45522,                 1.0174,                 0.9614,                0.93107,                0.95804,                0.73978,                0.94052,                0.50843,                 1.1522,               0.001486,               0.001486,               0.001486
                     88,                0.66348,                0.45805,                 1.0172,                0.96177,                0.93097,                0.95723,                0.73997,                0.94089,                0.50892,                  1.153,               0.001387,               0.001387,               0.001387
                     89,                0.65718,                0.44526,                 1.0115,                0.96244,                 0.9305,                0.95741,                0.74201,                0.94082,                0.51068,                 1.1541,               0.001288,               0.001288,               0.001288
                     90,                0.65569,                0.44068,                 1.0117,                0.96225,                0.93038,                0.95741,                 0.7423,                0.94059,                0.51068,                 1.1542,               0.001189,               0.001189,               0.001189
                     91,                0.64888,                0.43911,                   1.01,                0.96175,                0.93016,                0.95737,                0.74259,                0.94019,                0.50948,                 1.1542,                0.00109,                0.00109,                0.00109
                     92,                0.64439,                0.42906,                  1.004,                0.96119,                0.93006,                0.95778,                0.74168,                0.93908,                0.50863,                 1.1544,               0.000991,               0.000991,               0.000991
                     93,                0.63953,                0.43195,                 1.0024,                0.96086,                0.93007,                0.95789,                0.74222,                0.93911,                0.50787,                  1.155,               0.000892,               0.000892,               0.000892
                     94,                0.63631,                0.43111,                 1.0015,                 0.9606,                0.92968,                 0.9578,                0.74279,                0.93825,                0.50781,                 1.1551,               0.000793,               0.000793,               0.000793
                     95,                0.63325,                0.42624,                 1.0017,                0.96046,                0.92847,                 0.9577,                0.74253,                0.93759,                0.50721,                 1.1553,               0.000694,               0.000694,               0.000694
                     96,                0.62908,                0.42446,                 1.0032,                0.96045,                0.92791,                0.95801,                0.74198,                0.93679,                 0.5082,                 1.1555,               0.000595,               0.000595,               0.000595
                     97,                0.61678,                 0.4179,                0.99627,                0.96161,                0.92865,                0.95732,                  0.742,                0.93747,                0.50778,                 1.1566,               0.000496,               0.000496,               0.000496
                     98,                0.62325,                 0.4204,                0.99944,                0.96159,                0.92896,                0.95746,                0.74321,                0.93702,                0.50854,                 1.1567,               0.000397,               0.000397,               0.000397
                     99,                0.61568,                 0.4143,                0.99515,                0.96219,                0.92876,                0.95756,                0.74259,                 0.9366,                0.50768,                  1.157,               0.000298,               0.000298,               0.000298
